State,Facility,Number,Level 1,Level 2,Level 3,Not Convicted
Tennessee,MEMHOLD - MEMPHIS HOLD ROOM,41,2%,2%,0%,95%
Tennessee,MEMPHTN - MEMPHIS/SHELBY COUNTY JUV,14,7%,0%,7%,86%
Tennessee,MMPHSTN - MEMPHIS POLICE DEPT.,6,0%,0%,17%,83%
Tennessee,MONROTN - MONROE COUNTY JAIL,4,25%,0%,0%,75%
Tennessee,MONTGTN - MONTGOMERY COUNTY JAIL,165,1%,0%,10%,89%
Tennessee,MOORETN - MOORE COUNTY JAIL,2,0%,0%,0%,100%
Tennessee,MORGATN - MORGAN COUNTY JAIL,12,8%,0%,0%,92%
Tennessee,MRSHLTN - MARSHALL COUNTY JAIL,11,0%,0%,0%,100%
Tennessee,NSVHOLD - NASHVILLE HOLD ROOM,13,0%,0%,15%,85%
Tennessee,OVRTNTN - OVERTON COUNTY SHERIFF,10,0%,0%,10%,90%
Tennessee,PARKETN - PARKE COUNTY SHERIFF/JAIL,1,0%,0%,0%,100%
Tennessee,PERRYTN - PERRY COUNTY SHERIFF/JAIL,3,33%,0%,33%,33%
Tennessee,POLKCTN - POLK COUNTY JAIL,1,0%,0%,0%,100%
Tennessee,PUTNMTN - PUTNAM COUNTY SHERIFF,68,1%,6%,25%,68%
Tennessee,RHEACTN - RHEA COUNTY JAIL,33,0%,0%,27%,73%
Tennessee,ROANETN - ROANE COUNTY JAIL,14,7%,0%,21%,71%
Tennessee,ROBERTN - ROBERTSON CO. DET.CENTER,105,2%,3%,12%,83%
Tennessee,RUTHETN - RUTHERFORD COUNTY SHERIFF,423,2%,1%,16%,81%
Tennessee,RUTJVTN - RUTHERFORD COUNTY JUV DET CENTER,12,0%,0%,8%,92%
Tennessee,SCOTTTN - SCOTT COUNTY JAIL,3,0%,0%,0%,100%
Tennessee,SEQUATN - SEQUATCHIE COUNTY JAIL,14,7%,7%,14%,71%
Tennessee,SEVIETN - SEVIER COUNTY JAIL,96,0%,2%,23%,75%
Tennessee,SHELBTN - SHELBY CO. SHERIFF OFFICE,817,4%,3%,26%,67%
Tennessee,SILERTN - SILVERDALE/HAMILTON COUNTY,2,0%,0%,0%,100%
Tennessee,SMITHTN - SMITH COUNTY SHERIFF,50,4%,0%,8%,88%
Tennessee,SULLITN - SULLIVAN COUNTY SHERIFF,30,3%,0%,7%,90%
Tennessee,SUMNRTN - SUMNER COUNTY SHERIFF,190,3%,1%,18%,78%
Tennessee,TIPTOTN - TIPTON COUNTY SHERIFF,19,0%,5%,26%,68%
Tennessee,TNDEBSN - L.M.DEBERRY SPEC.NEED FAC.,1,100%,0%,0%,0%
Tennessee,TNDOCSM - TENN.DEPT.CORR.SENT.MANG.,3,0%,0%,0%,100%
Tennessee,TNMORGN - MORGAN COUNTY CORR. COMPLEX,16,6%,0%,25%,69%
Tennessee,TNMTCC1 - MIDDLE TENNESSEE C.C. #1,2,50%,0%,0%,50%
Tennessee,TNNOWCC - NORTHWEST CORRECTIONAL COMPLEX,6,17%,0%,0%,83%
Tennessee,TNPRIWO - TENNESSEE PRISON FOR WOMEN,5,0%,0%,0%,100%
Tennessee,TNRIVMX - RIVERBEND MAX.SEC.FAC. .,1,0%,0%,0%,100%
Tennessee,TNSEREG - SOUTHEAST REGIONAL CORFAC,1,0%,0%,0%,100%
Tennessee,TNSOCCF - SOUTH CENTRAL CORR.FAC.,10,10%,0%,0%,90%
Tennessee,TNTURNP - TURNEY CENTER PRISON,2,0%,0%,0%,100%
Tennessee,TNWESDF - WESTERN TENNESSEE DET. FAC.,5,0%,0%,60%,40%
Tennessee,TNWTNSP - WEST TENNESSEE STATE PENITENTIARY,13,23%,15%,8%,54%
Tennessee,TRSDLTN - TROUSDALE COUNTY SHERIFF,6,0%,0%,17%,83%
Tennessee,UNICOTN - UNICOI COUNTY JAIL,7,14%,0%,29%,57%
Tennessee,UNIONTN - UNION COUNTY JAIL,5,0%,20%,0%,80%
Tennessee,"USMEDTN - US MARSHALS, E.DIST TN",29,28%,3%,28%,41%
Tennessee,"USMMDTN - US MARSHALS,MID DIST TN",38,26%,5%,16%,53%
Tennessee,"USMS2TN - US MARSHALS, CHATTANOOGA",12,8%,0%,33%,58%
Tennessee,"USMWDTN - US MARSHALS, W. DIST TN",12,58%,8%,8%,25%
Tennessee,WARRETN - WARREN COUNTY JAIL,76,1%,1%,24%,74%
Tennessee,WASCOTN - WASHINGTON COUNTY DET. CTR,62,2%,2%,21%,76%
Tennessee,WAYNETN - WAYNE COUNTY SHERIFF,6,0%,0%,17%,83%
Tennessee,WHITETN - WHITE COUNTY SHERIFF,2,0%,0%,0%,100%
Tennessee,WILLITN - WILLIAMSON COUNTY JAIL,90,2%,3%,22%,72%
Tennessee,WILSOTN - WILSON COUNTY JAIL,19,0%,0%,21%,79%
Texas,ABRXSTX - ABRAXAS-H GARCIA CENTER,32,22%,3%,38%,38%
Texas,ABTHOLD - ABILENE HOLD ROOM,2,0%,0%,0%,100%
Texas,ADDSNTX - ADDISON POLICE DEPT.,51,4%,2%,22%,73%
Texas,ALAMOTX - ALAMO POLICE DEPT.,284,5%,8%,37%,50%
Texas,ALLENTX - ALLEN POLICE DEPT.,44,2%,11%,39%,48%
Texas,ALVINTX - ALVIN POLICE DEPT.,111,5%,6%,51%,38%
Texas,ANDRSTX - ANDERSON COUNTY JAIL,20,10%,0%,30%,60%
Texas,ANDRWTX - ANDREWS SHERRIF'S OFFICE CO JAIL,17,0%,0%,12%,88%
Texas,ANGELTX - ANGELINA COUNTY JAIL,55,5%,9%,36%,49%
Texas,ANGLETX - ANGLETON POLICE DEPT.,4,0%,0%,50%,50%
Texas,ARANSTX - ARANSAS COUNTY SHERIFF,21,19%,10%,43%,29%
Texas,ARCHETX - ARCHER COUNTY JAIL,7,14%,0%,43%,43%
Texas,ARCOLTX - ARCOLA POLICE DEPT.,1,0%,0%,0%,100%
Texas,ARLNGTX - ARLINGTON POLICE DEPT.,645,6%,7%,42%,45%
Texas,ARMLOTX - AMARILLO CITY JAIL,4,0%,0%,25%,75%
Texas,ARMSTTX - ARMSTRONG COUNTY JAIL,3,0%,0%,67%,33%
Texas,ATAJUTX - ATASCOSA COUNTY JUVENILE,2,0%,0%,0%,100%
Texas,ATASCTX - ATASCOSA COUNTY JAIL,92,4%,1%,13%,82%
Texas,AUSHOLD - AUSTIN DRO HOLD ROOM,13,8%,8%,31%,54%
Texas,AUSTNTX - AUSTIN COUNTY SHERIFF,48,2%,8%,27%,63%
Texas,BAILTTX - BAILEY COUNTY SHERIFF,38,5%,3%,29%,63%
Texas,BALCHTX - BALCH SPRINGS POLICE DEPT.,20,0%,10%,20%,70%
Texas,BANDETX - BANDERA COUNTY JAIL,26,0%,0%,15%,85%
Texas,BASCOTX - BASTROP COUNTY JAIL,463,2%,2%,7%,90%
Texas,BATWNTX - BAYTOWN POLICE DEPT.,31,0%,29%,35%,35%
Texas,BEAMTTX - BEAUMONT POLICE DEPT.,7,0%,14%,43%,43%
Texas,BEDCITX - BEDFORD CITY JAIL,25,4%,8%,48%,40%
Texas,BEECOTX - BEE COUNTY SHERIFF,7,0%,0%,57%,43%
Texas,BELCOTX - BELL COUNTY JAIL,605,1%,1%,6%,92%
Texas,BELJUTX - BELL COUNTY JUVENILE,1,0%,0%,0%,100%
Texas,BELLATX - BELLAIRE POLICE DEPT.,5,0%,0%,20%,80%
Texas,BELLVTX - BELLVILLE POLICE DEPT.,2,0%,0%,0%,100%
Texas,BEXARTX - BEXAR COUNTY JAIL,"2,234",3%,3%,18%,76%
Texas,BEXJUTX - BEXAR COUNTY JUVENILE,2,0%,0%,50%,50%
Texas,BLANCTX - BLANCO COUNTY JAIL,29,3%,0%,14%,83%
Texas,BNBRKTX - BENBROOK CITY JAIL,7,0%,0%,86%,14%
Texas,BOPBAS - BASTROP FED.CORR.INST.,8,13%,0%,0%,88%
Texas,BOPBIG - BIG SPRING FED.CORR.INST.,109,40%,3%,36%,21%
Texas,BOPBMA - BEAUMONT FED.CORR.CTR,18,17%,0%,44%,39%
Texas,"BOPBML - BEAUMONT FCC, LOW",93,41%,5%,35%,18%
Texas,"BOPBMM - BEAUMONT FCC, MEDIUM",240,24%,7%,35%,34%
Texas,BOPBMP - BEAUMONT FEDERAL PRISON,148,30%,6%,35%,29%
Texas,BOPCRW - CARSWELL FED.MED.CTR,195,39%,5%,26%,30%
Texas,BOPDAL - DALBY CORRECTIONAL INSTITUTE,217,36%,3%,38%,23%
Texas,BOPEDN - CI EDEN,"1,942",28%,7%,65%,1%
Texas,BOPFTW - FORT WORTH FED.MED.CENTER,86,8%,5%,15%,72%
Texas,BOPHOU - FDC HOUSTON,693,21%,9%,59%,11%
Texas,BOPLAT - LA TUNA FCI,9,33%,0%,67%,0%
Texas,BOPREE - REEVES COUNTY DET. CENTER III,954,33%,7%,55%,5%
Texas,BOPSEA - SEAGOVILLE FED.CORR.INST.,40,18%,5%,20%,58%
Texas,BOPTEX - TEXARKANA FED.CORR.INST.,17,12%,0%,29%,59%
Texas,BOPTRV - THREE RIVERS FCI,104,34%,7%,36%,24%
Texas,BOPWLC - CI WILLACY,"1,027",7%,3%,15%,75%
Texas,BOWCOTX - BOWIE COUNTY JAIL,41,12%,2%,27%,59%
Texas,BRAZITX - BRAZORIA COUNTY DET. CTR,186,9%,8%,39%,44%
Texas,BRAZOTX - BRAZOS COUNTY JAIL,417,5%,7%,44%,44%
Texas,BREWSTX - BREWSTER COUNTY JAIL,34,3%,6%,65%,26%
Texas,BRLSNTX - BURLESON POLICE DEPT.,2,0%,0%,50%,50%
Texas,BROKSTX - BROOKS COUNTY JAIL (CONTRACT),34,6%,21%,56%,18%
Texas,"BROOKTX - BROOKS COUNTY JAIL, (SHERIFF)",22,14%,5%,73%,9%
Texas,BROWNTX - BROWN COUNTY SHERIFF,12,8%,8%,17%,67%
Texas,BRWNSTX - BROWNSVILLE POLICE DEPT.,662,5%,4%,35%,56%
Texas,BRYANTX - BRYAN POLICE DEPT,2,0%,0%,0%,100%
Texas,BSCDRTX - BSCC CEDAR HILL UNIT,858,41%,4%,49%,5%
Texas,BSCHOLD - BIG SPRING HOLD ROOM,4,50%,25%,25%,0%
Texas,BSCORTX - BSCC AIRPARK UNIT,641,50%,5%,41%,3%
Texas,BSFLTTX - BSCC FLIGHTLINE UNIT,"2,051",39%,6%,49%,7%
Texas,BSGDFTX - BSCC GILES DARBY FACILITY,"2,267",39%,6%,48%,6%
Texas,BSNTRTX - BSCC INTERSTATE UNIT,316,45%,7%,43%,5%
Texas,BSQUETX - BOSQUE COUNTY SHERIFF'S DEPT.,40,5%,0%,18%,78%
Texas,BURLETX - BURLESON COUNTY JAIL,7,0%,0%,57%,43%
Texas,BURNETX - BURNET COUNTY JAIL,141,0%,1%,10%,89%
Texas,BZRIATX - BRAZORIA POLICE DEPT.,5,0%,0%,60%,40%
Texas,CALDWTX - CALDWELL COUNTY JAIL,114,1%,1%,11%,87%
Texas,CALHNTX - CALLAHAN COUNTY SHERIFF,5,0%,0%,60%,40%
Texas,CAMERTX - CAMERON COUNTY JAIL,"1,042",4%,4%,23%,69%
Texas,CAMPCTX - CAMP COUNTY JAIL,10,0%,0%,20%,80%
Texas,CARSNTX - CARSON COUNTY SHERIFF,60,5%,3%,28%,63%
Texas,CASSCTX - CASS COUNTY JAIL,16,0%,0%,0%,100%
Texas,CBENDTX - COASTAL BEND DET. FACILITY,11,0%,0%,64%,36%
Texas,CC1JVTX - CHILDREN'S CENTER INC.,1,0%,0%,0%,100%
Texas,CCAHUTX - HUTTO CCA,2,0%,0%,0%,100%
Texas,CCFJVTX - CORPUS CHRISTI FACILITY,3,0%,0%,0%,100%
Texas,CCHRSTX - CORPUS CHRISTI POLICE DEPT.,2,0%,50%,0%,50%
Texas,CDRHLTX - CEDAR HILL POLICE DEPT.,6,17%,0%,33%,50%
Texas,CENTRTX - CENTER POLICE DEPT.,11,0%,18%,9%,73%
Texas,CHAMBTX - CHAMBERS COUNTY SHERIFF,61,2%,10%,49%,39%
Texas,CHEROTX - CHEROKEE COUNTY JAIL,52,4%,4%,48%,44%
Texas,CHILDTX - CHILDRESS COUNTY SHERIFF,6,0%,0%,33%,67%
Texas,CLAYCTX - CLAY COUNTY JAIL,4,0%,0%,25%,75%
Texas,CLEVETX - CLEVELAND POLICE DEPT.,2,0%,0%,0%,100%
Texas,CLUTETX - CLUTE POLICE DEPT.,12,17%,0%,33%,50%
Texas,CMMRCTX - COMMERCE POLICE DEPT.,1,0%,0%,100%,0%
Texas,CMRONTX - CAMERON POLICE DEPT.,3,33%,0%,33%,33%
Texas,COCHRTX - COCHRAN COUNTY JAIL,3,0%,0%,33%,67%
Texas,COLCOTX - COLORADO COUNTY JAIL,131,3%,6%,40%,50%
Texas,COLINTX - COLLINGSWORTH COUNTY SHERIFF,4,0%,50%,0%,50%
Texas,COLLNTX - COLLIN COUNTY JAIL,613,6%,6%,28%,61%
Texas,COLMNTX - COLEMAN COUNTY SHERIFF,2,0%,0%,50%,50%
Texas,COLNYTX - THE COLONY POLICE DEPT.,13,0%,8%,38%,54%
Texas,COMALTX - COMAL CTY JAIL,426,2%,4%,18%,77%
Texas,COMANTX - COMANCHE CO LAW ENFOR CTR,13,8%,0%,15%,77%
Texas,CONCHTX - CONCHO COUNTY SHERIFF,1,0%,0%,0%,100%
Texas,CONROTX - CONROE POLICE DEPT.,5,0%,0%,80%,20%
Texas,COOKETX - COOKE COUNTY JAIL,44,7%,5%,34%,55%
Texas,CORTYTX - CORYELL COUNTY JAIL,57,5%,0%,16%,79%
Texas,CPPLLTX - COPPELL POLICE DEPT.,5,20%,20%,20%,40%
Texas,CRANETX - CRANE COUNTY SHERIFF'S DEPT.,6,0%,0%,0%,100%
Texas,CRCKTTX - CROCKETT COUNTY SHERIFF,4,0%,25%,0%,75%
Texas,CRLTNTX - CARROLLTON POLICE DEPT.,344,7%,5%,33%,56%
Texas,CROCKTX - CROCKETT POLICE DEPT.,6,0%,0%,0%,100%
Texas,CRPCHTX - CORPUS CHRISTI CITY MARSHAL'S,2,0%,0%,0%,100%
Texas,CRSBYTX - CROSBY COUNTY SHERIFF,1,0%,0%,0%,100%
Texas,CRWLYTX - CROWLEY POLICE DEPT.,1,0%,0%,100%,0%
Texas,CULBETX - CULBERSON COUNTY SHERIFF'S,2,0%,0%,0%,100%
Texas,DALCOTX - DALLAS COUNTY JAIL,"4,194",8%,6%,36%,50%
Texas,DALHOLD - DALLAS F.O. HOLD,98,11%,11%,44%,34%
Texas,DALLMTX - DALLAM COUNTY SHERIFF,88,5%,0%,24%,72%
Texas,DAWSNTX - DAWSON COUNTY JAIL,9,0%,0%,22%,78%
Texas,DCATRTX - DECATUR POLICE DEPT.,3,33%,0%,0%,67%
Texas,DEFSMTX - DEAF SMITH COUNTY SHERIFF,179,4%,2%,39%,55%
Texas,DELTATX - DELTA COUNTY JAIL,2,0%,0%,50%,50%
Texas,DENTNTX - DENTON CITY JAIL,96,6%,6%,29%,58%
Texas,DENTOTX - DENTON COUNTY JAIL,484,5%,5%,39%,50%
Texas,DERPKTX - DEER PARK POLICE DEPT.,49,2%,4%,41%,53%
Texas,DEWITTX - DE WITT COUNTY JAIL,7,0%,0%,14%,86%
Texas,DICKNTX - DICKINSON POLICE DEPT.,14,14%,14%,36%,36%
Texas,DIMITTX - DIMMIT COUNTY JAIL,8,0%,0%,25%,75%
Texas,DLRHOLD - DEL RIO DRO HOLD ROOM,3,0%,0%,0%,100%
Texas,DLWTHTX - DALWORTHINGTON GARDENS POL. DEPT.,3,0%,67%,0%,33%
Texas,DNCNVTX - DUNCANVILLE POLICE DEPT.,2,0%,0%,0%,100%
Texas,DONLYTX - DONLEY COUNTY SHERIFF,1,0%,0%,0%,100%
Texas,DONNATX - DONNA POLICE DEPT.,142,4%,5%,48%,43%
Texas,DUMASTX - DUMAS POLICE DEPT.,1,0%,0%,0%,100%
Texas,DUVALTX - DUVAL COUNTY JAIL,12,8%,0%,8%,83%
Texas,EASTLTX - EASTLAND COUNTY SHERIFF,7,0%,0%,71%,29%
Texas,ECLECTX - ECTOR COUNTY LAW ENFORCEMENT,74,0%,3%,16%,81%
Texas,ECTORTX - ECTOR COUNTY CORRECTION CENTER,99,2%,4%,6%,88%
Texas,EDNAPTX - EDNA POLICE DEPT.,1,0%,0%,0%,100%
Texas,EDNBGTX - EDINBURG POLICE DEPT.,357,5%,10%,33%,52%
Texas,EDWARTX - EDWARDS COUNTY JAIL,2,0%,0%,0%,100%
Texas,EHDLGTX - EAST HIDALGO DETENTION CENTER,9,22%,11%,44%,22%
Texas,ELCAMTX - EL CAMPO POLICE DEPT.,6,0%,0%,33%,67%
Texas,ELLISTX - ELLIS COUNTY SHERIFF'S DEPT.,97,3%,5%,22%,70%
Texas,ELPCOTX - EL PASO COUNTY JAIL (TX),595,10%,6%,34%,49%
Texas,EPC - EL PASO SPC,21,10%,14%,48%,29%
Texas,EPCJUVI - EL PASO SPC JUVENILE,2,0%,0%,50%,50%
Texas,ERATHTX - ERATH COUNTY JAIL,7,0%,29%,43%,29%
Texas,EULESTX - EULESS CITY JAIL,61,13%,0%,38%,49%
Texas,FALLSTX - FALLS COUNTY JAIL,41,5%,2%,10%,83%
Texas,FANINTX - FANNIN COUNTY JAIL,44,2%,0%,11%,86%
Texas,FAYETTX - FAYETTE COUNTY JAIL,8,13%,0%,0%,88%
Texas,FERISTX - FERRIS POLICE DEPT.,6,17%,0%,33%,50%
Texas,FISHRTX - FISHER COUNTY SHERIFF,2,0%,0%,50%,50%
Texas,FLRMNTX - FLOWER MOUND CITY JAIL,10,0%,0%,10%,90%
Texas,FRANKTX - FRANKLIN COUNTY JAIL,4,25%,0%,50%,25%
Texas,FREEPTX - FREEPORT POLICE DEPT.,2,0%,0%,0%,100%
Texas,FREESTX - FREESTONE COUNTY JAIL,46,0%,4%,33%,63%
Texas,FRIOCTX - FRIO COUNTY JAIL,43,5%,5%,2%,88%
Texas,FRMRSTX - FARMERS BRANCH POL. DEPT.,237,5%,6%,46%,43%
Texas,FRNDSTX - FRIENDSWOOD POLICE DEPT.,4,0%,0%,50%,50%
Texas,FRONATX - FRIONA POLICE DEPT.,1,0%,0%,0%,100%
Texas,FRSCOTX - FRISCO POLICE DEPT.,62,6%,8%,34%,52%
Texas,FTBENTX - FT. BEND COUNTY JAIL,326,6%,14%,39%,41%
Texas,FTWTHTX - FT WORTH POLICE DEPT.,478,7%,8%,43%,42%
Texas,GAINSTX - GAINES COUNTY SHERIFF,27,0%,0%,30%,70%
Texas,GALVETX - GALVESTON COUNTY SHERIFF,190,9%,8%,40%,43%
Texas,GARZATX - GARZA COUNTY JAIL,7,29%,0%,14%,57%
Texas,GILLITX - GILLISPIE CTY JAIL,87,3%,2%,23%,71%
Texas,GLASSTX - GLASSCOCK COUNTY SHERIFF,2,0%,50%,0%,50%
Texas,GLENATX - GALENA PARK POLICE DEPT.,4,0%,0%,50%,50%
Texas,GLENNTX - GLENN HEIGHTS POLICE DEPT.,6,0%,17%,50%,33%
Texas,GONZATX - GONZALES COUNTY JAIL,174,1%,1%,18%,80%
Texas,GRAYCTX - GRAY COUNTY SHERIFF,57,5%,2%,19%,74%
Texas,GRAYSTX - GRAYSON COUNTY JAIL,95,5%,2%,29%,63%
Texas,GREGGTX - GREGG COUNTY SHERIFF'S,182,8%,4%,23%,66%
Texas,GRIMETX - GRIMES COUNTY SHERIFF'S DEPT.,22,5%,5%,18%,73%
Texas,GRLNDTX - GARLAND POLICE DEPT.,293,8%,4%,38%,51%
Texas,GRPRATX - GRAND PRAIRIE CITY JAIL,399,6%,5%,39%,51%
Texas,GRPVNTX - GRAPEVINE POLICE DEPT.,65,3%,9%,29%,58%
Texas,GRVTNTX - GROVETON POLICE DEPT.,2,0%,0%,50%,50%
Texas,GUADATX - GUADALUPE CTY JAIL,254,2%,3%,20%,75%
Texas,GUAJVTX - GUADALUPE COUNTY JUVENILE D.F.,1,0%,0%,0%,100%
Texas,GWESTTX - GEORGE WEST POLICE DEPT.,1,0%,0%,0%,100%
Texas,HALECTX - HALE COUNTY SHERIFF,32,6%,3%,19%,72%
Texas,HALLCTX - HALL COUNTY SHERIFF,5,0%,0%,60%,40%
Texas,HALTMTX - HALTOM CITY JAIL,32,6%,6%,41%,47%
Texas,HANSFTX - HANSFORD COUNTY SHERIFF,10,0%,0%,30%,70%
Texas,HARDITX - HARDIN COUNTY JAIL,13,8%,8%,0%,85%
Texas,HARISTX - HARRIS COUNTY JAIL,"9,736",8%,16%,52%,24%
Texas,HARRITX - HARRIS COUNTY JUVENILE,11,9%,0%,36%,55%
Texas,HARSNTX - HARRISON COUNTY JAIL,76,4%,1%,46%,49%
Texas,HARTLTX - HARTLEY COUNTY SHERIFF,1,0%,0%,0%,100%
Texas,HASKLTX - ROLLING PLAINS DETENTION CENTER,13,31%,15%,54%,0%
Texas,HAYCOTX - HAYS CTY JAIL,323,1%,2%,7%,91%
Texas,HDLGOTX - HIDALGO POLICE DEPT.,10,20%,0%,50%,30%
Texas,HEDWGTX - HEDWIG POLICE DEPT.,19,5%,0%,47%,47%
Texas,HENDETX - HENDERSON COUNTY JAIL,52,4%,12%,50%,35%
Texas,HERNETX - HEARNE POLICE DEPT.,1,0%,0%,100%,0%
Texas,HIDALTX - HIDALGO COUNTY JAIL,"5,334",5%,4%,27%,64%
Texas,HILLCTX - HILL COUNTY SHERIFF'S DEPT.,50,0%,0%,14%,86%
Texas,HLGHOLD - HARLINGEN HOLD ROOM,24,8%,8%,54%,29%
Texas,HMPHLTX - HEMPHILL COUNTY SHERIFF,17,6%,0%,12%,82%
Texas,HNTSVTX - HUNTSVILLE POLICE DEPT.,4,0%,0%,50%,50%
Texas,HOKLYTX - HOCKLEY COUNTY JAIL,23,0%,0%,17%,83%
Texas,HOODCTX - HOOD COUNTY SHERIFF'S DEPT.,52,4%,12%,38%,46%
Texas,HOUHOLD - HOUSTON FO HOLDROOM,18,22%,0%,44%,33%
Texas,HOUICDF - HOUSTON CONTRACT DET.FAC.,70,10%,9%,51%,30%
Texas,HOUSETX - HOUSTON POLICE DEPT. (SOUTHEAST),607,5%,6%,34%,55%
Texas,HOUSTTX - HOUSTON POLICE DEPT.,641,7%,7%,39%,46%
Texas,HOWRDTX - HOWARD COUNTY SHERIFF,18,11%,6%,39%,44%
Texas,HPDPSTX - HIGHLAND PARK DPS,2,0%,0%,0%,100%
Texas,HPKNSTX - HOPKINS COUNTY JAIL,29,3%,3%,38%,55%
Texas,HRLGNTX - HARLINGEN POLICE DEPT.,165,2%,5%,27%,65%
Texas,HSKELTX - HASKELL COUNTY SHERIFF,2,0%,100%,0%,0%
Texas,HUDSPTX - HUDSPETH COUNTY JAIL,24,21%,8%,29%,42%
Texas,HUMBLTX - HUMBLE POLICE DEPT.,14,0%,7%,50%,43%
Texas,HUNTCTX - HUNT COUNTY SHERIFF & JAIL,67,3%,10%,33%,54%
Texas,HURSTTX - HURST CITY JAIL,94,4%,4%,48%,44%
Texas,HUSTNTX - HOUSTON COUNTY SHERIFF,10,0%,0%,20%,80%
Texas,HUTCHTX - HUTCHINSON COUNTY SHERIFF,18,6%,11%,22%,61%
Texas,IRVNGTX - IRVING POLICE DEPT.,"1,098",8%,5%,47%,41%
Texas,JACINTX - JACINTO CITY POLICE DEPT.,9,11%,0%,44%,44%
Texas,JACKCTX - JACK COUNTY JAIL,5,0%,0%,20%,80%
Texas,JACKSTX - JACKSON COUNTY JAIL,7,14%,0%,14%,71%
Texas,JASPRTX - JASPER COUNTY SHERIFF,11,0%,0%,45%,55%
Texas,JCKSNTX - JACKSONVILLE POLICE DEPT.,5,0%,0%,40%,60%
Texas,JCRLYTX - JOE CORLEY DET. FACILITY,18,17%,0%,50%,33%
Texas,JEFFETX - JEFFERSON COUNTY JAIL,171,9%,8%,27%,56%
Texas,JERSYTX - JERSEY VILLAGE POLICE DEPT.,7,0%,0%,43%,57%
Texas,JHOGGTX - JIM HOGG COUNTY SHERIFF,8,0%,0%,13%,88%
Texas,JHRWLTX - JACK HARWELL DETENTION CENTER,3,33%,0%,33%,33%
Texas,JMWLSTX - JIM WELLS COUNTY SHERIFF,3,0%,0%,33%,67%
Texas,JOHNSTX - JOHNSON COUNTY JAIL,99,6%,6%,25%,63%
Texas,JONCOTX - JONES COUNTY SHERIFF,2,0%,0%,100%,0%
Texas,JUVCETX - JUVENILE CENTER,3,0%,0%,0%,100%
Texas,KARNETX - KARNES CTY CORR CTR,28,0%,0%,29%,71%
Texas,KATYPTX - KATY POLICE DEPT.,60,2%,3%,22%,73%
Texas,KCCDCTX - KARNES COUNTY CIVIL DET. CENTER,1,0%,0%,100%,0%
Texas,KEENETX - KEENE POLICE DEPT.,6,0%,17%,17%,67%
Texas,KEJUVTX - KERR COUNTY JDC,1,0%,0%,0%,100%
Texas,KELLRTX - KELLER POLICE DEPT.,15,13%,7%,27%,53%
Texas,KEMAHTX - KEMAH POLICE DEPT.,2,0%,0%,0%,100%
Texas,KENDATX - KENDALL COUNTY JAIL,82,5%,1%,30%,63%
Texas,KERCOTX - KERR COUNTY JAIL,135,1%,1%,26%,71%
Texas,KFMANTX - KAUFMAN COUNTY SHERIFF'S DEPT,105,7%,5%,32%,56%
Texas,KILLETX - KILLEEN POLICE DEPT.,25,0%,0%,4%,96%
Texas,KIMBLTX - KIMBLE COUNTY JAIL,9,0%,0%,0%,100%
Texas,KINGCTX - KING COUNTY SHERIFF,3,0%,33%,67%,0%
Texas,KINNETX - KINNEY COUNTY JAIL,6,0%,0%,33%,67%
Texas,KLEBGTX - KLEBERG COUNTY SHERIFF,7,0%,0%,29%,71%
Texas,LAFERTX - LA FERIA POLICE DEPT.,11,0%,0%,36%,64%
Texas,LAMARTX - LAMAR COUNTY JAIL,39,5%,10%,23%,62%
Texas,LAMBCTX - LAMB COUNTY SHERIFF,16,6%,6%,19%,69%
Texas,LAMPATX - LAMPASAS COUNTY JAIL,61,0%,2%,5%,93%
Texas,LAPRTTX - LA PORTE POLICE DEPT.,13,15%,8%,54%,23%
Texas,LASALTX - LASALLE COUNTY JAIL,16,0%,0%,13%,88%
Texas,LAURITX - LAUREL RIDGE TREATMENT CTR,1,0%,0%,0%,100%
Texas,LAVACTX - LAVACA COUNTY JAIL,2,0%,0%,50%,50%
Texas,LECPETX - LAW ENF CTR PECOS,18,28%,6%,44%,22%
Texas,LEECOTX - LEE COUNTY JAIL,37,3%,14%,54%,30%
Texas,LEGUETX - LEAGUE CITY POLICE DEPT.,11,0%,18%,27%,55%
Texas,LEONCTX - LEON COUNTY SHERIFF,24,0%,0%,17%,83%
Texas,LEXINTX - LEXINGTON,3,33%,0%,0%,67%
Texas,LFRESTX - LOS FRESNOS POLICE DEPT.,49,2%,0%,35%,63%
Texas,LIBCOTX - LIBERTY COUNTY JAIL,63,14%,5%,40%,41%
Texas,LIMESTX - LIMESTONE DET CENTER,94,13%,3%,20%,64%
Texas,LJOYATX - LA JOYA POLICE DEPT.,51,6%,0%,22%,73%
Texas,LKJCKTX - LAKE JACKSON POLICE DEPT.,3,0%,0%,0%,100%
Texas,LKWTHTX - LAKE WORTH POLICE DEPT.,9,0%,22%,11%,67%
Texas,LLANOTX - LLANO COUNTY JAIL,13,0%,0%,0%,100%
Texas,LNGVWTX - LONGVIEW POLICE DEPT.,7,0%,14%,43%,43%
Texas,LPSCMTX - LIPSCOMB COUNTY JAIL,4,0%,0%,25%,75%
Texas,LRDHOLD - LAREDO DETENTION CENTER HOLD ROOM,2,0%,0%,0%,100%
Texas,LRDICDF - LAREDO CONTRACT DET. FAC.,20,0%,5%,30%,65%
Texas,LSFHOLD - LOS FRESNOS HOLD ROOM,2,0%,0%,0%,100%
