State,Facility,Number,Level 1,Level 2,Level 3,Not Convicted
Arizona,GILAJAZ - GILA COUNTY JAIL,48,2%,0%,23%,75%
Arizona,GLENJAZ - GLENDALE CITY JAIL,97,3%,7%,30%,60%
Arizona,GRAHAAZ - GRAHAM CO JAIL SAFFORD AZ,2,0%,0%,50%,50%
Arizona,GRAHMAZ - GRAHAM COUNTY SHERIFF/JAIL,1,0%,0%,100%,0%
Arizona,GRNLEAZ - GREENLEE COUNTY SHERIFF/JAIL,1,100%,0%,0%,0%
Arizona,LAPAZAZ - LA PAZ COUNTY ADULT DET. FAC.,30,3%,7%,40%,50%
Arizona,MCDURAZ - MSCO DURANGO FACILITY,2,0%,0%,0%,100%
Arizona,MCFAJAZ - MARICOPA COUNTY JAIL,"10,585",9%,5%,29%,57%
Arizona,MCLBJAZ - MARICOPA CO LOWER BUCKEYE JAIL,527,5%,4%,51%,40%
Arizona,MCMADAZ - MCSO MADISON FACILITY,4,25%,0%,0%,75%
Arizona,MCMEDAZ - MARICOPA MEDICAL CENTER,2,0%,0%,50%,50%
Arizona,MCSPEAZ - MCSO SPECIAL USE FACILITY,7,14%,14%,29%,43%
Arizona,MESHFAZ - MESA PD HOLDING FACILITY,207,9%,6%,58%,27%
Arizona,MOHAVAZ - MOHAVE CO CORR CENTER,85,6%,7%,31%,56%
Arizona,NAVSOAZ - NAVAJO COUNTY SHERIFF,190,8%,0%,21%,71%
Arizona,PAGEJAZ - PAGE CITY JAIL,6,0%,0%,33%,67%
Arizona,PHOHOLD - PHOENIX DIST OFFICE,36,14%,6%,19%,61%
Arizona,PIMAJAZ - PIMA COUNTY JAIL,"1,221",12%,4%,29%,56%
Arizona,PINALAZ - PINAL COUNTY JAIL,678,11%,4%,24%,61%
Arizona,PMAJVAZ - PIMA COUNTY JUVENILE DET. CENTER,2,0%,0%,50%,50%
Arizona,"SCJUVAZ - SANTA CRUZ CO. JUVE, NOG",3,67%,0%,0%,33%
Arizona,SCOTJAZ - SCOTTSDALE JAIL DIST 1,207,4%,2%,25%,70%
Arizona,SCOTVAZ - SCOTTSDALE JAIL DIST 2,53,0%,2%,28%,70%
Arizona,SCRUZAZ - SANTA CRUZ CO JAIL AZ,82,6%,4%,21%,70%
Arizona,SEMCJAZ - SOUTHEAST FACILITY - MC JUV,6,0%,0%,33%,67%
Arizona,SLRDCAZ - SAN LUIS REGIONAL DET CENTER,2,0%,0%,50%,50%
Arizona,SWKVGAZ - SOUTHWEST KEY VILLAGE GREEN,1,0%,0%,0%,100%
Arizona,TEMPJAZ - TEMPE CITY JAIL,241,4%,3%,34%,58%
Arizona,TUCHOLD - TUCSON INS HOLD ROOM,13,0%,15%,31%,54%
Arizona,USMFLG - US MARSHAL - FLAGSTAFF,2,50%,0%,0%,50%
Arizona,USMPHO - US MARSHAL - PHOENIX,"1,577",24%,9%,55%,12%
Arizona,USMTUC - US MARSHAL - TUCSON,624,14%,6%,43%,36%
Arizona,USMYUM - US MARSHAL - YUMA,3,0%,0%,33%,67%
Arizona,YAVAPAZ - YAVAPAI COUNTY JAIL,109,7%,6%,27%,61%
Arizona,YAVCVAZ - YAVAPAI COUNTY DETENTION CENTER,187,6%,4%,30%,59%
Arizona,YUJUVAZ - YUMA COUNTY JUVENILE CENT,1,0%,0%,0%,100%
Arizona,YUMAJAZ - YUMA COUNTY JAIL - ADULTS,59,8%,2%,34%,56%
Arkansas,ARBISJC - BI STATE JUSTICE COMMITTE,1,0%,0%,0%,100%
Arkansas,ARDCBEN - ARK. D.O.C.-BENTON UNIT,1,0%,0%,0%,100%
Arkansas,ARDCCUM - ARK. D.O.C.-CUMMINS UNIT,35,3%,3%,20%,74%
Arkansas,ARDCDEL - ARK. D.O.C.-DELTA REG.UNIT,4,25%,0%,0%,75%
Arkansas,ARDCDIA - ARK. D.O.C.-DIAGNOSTIC .,7,0%,0%,29%,71%
Arkansas,ARDCGRI - ARK. D.O.C.- GRIMES UNIT,18,17%,0%,0%,83%
Arkansas,ARDCMCP - ARK. D.O.C.-MCPHERSON UNIT,1,0%,0%,0%,100%
Arkansas,ARDCNCU - ARK. D.O.C.-NORTH CENTRAL,3,0%,33%,0%,67%
Arkansas,ARDCPBU - ARK. D.O.C.-PINEBLUFF UNIT,4,0%,25%,0%,75%
Arkansas,ARDCTEX - ARK. D.O.C.-TEXARKANA UNIT,1,0%,0%,0%,100%
Arkansas,ARDCTUC - ARK. D.O.C.-TUCKER UNIT,7,14%,0%,0%,86%
Arkansas,ARDCVAR - ARK. D.O.C.-VARNER UNIT,20,5%,0%,15%,80%
Arkansas,ARDCWRI - ARK. D.O.C.- WRIGHTSVILLE,3,33%,33%,0%,33%
Arkansas,AREAREG - EAST ARKANSAS REGIONAL,3,33%,0%,0%,67%
Arkansas,ARKCYAR - ARKANSAS COUNTY JAIL,42,5%,0%,12%,83%
Arkansas,ARSWDOC - SOUTHWEST ARKANSAS D.O.C.C.,1,100%,0%,0%,0%
Arkansas,ASHLYAR - ASHLEY COUNTY JAIL,22,0%,0%,5%,95%
Arkansas,BAXTEAR - BAXTER COUNTY JAIL,20,0%,0%,5%,95%
